agent_ID,parameters_ID,order_cost,leadtime,mean_gap
64,4,80,4,0.048945587881847476
65,4,80,4,0.047600338516238336
66,4,80,4,42.23226878023555
67,4,80,4,0.045159614496754825
68,4,80,4,0.024159145451813628
69,4,80,4,0.045756794765639826
70,4,80,4,1.9997791345392375
71,4,80,4,0.05494660092216254
72,4,80,4,0.055293753589964585
73,4,80,4,0.052582184387232916
74,4,80,4,0.059774723758149635
75,4,80,4,0.05203941221978476
76,4,80,4,0.014328009634550486
77,4,80,4,0.06860429393098355
78,4,80,4,0.054619491984866285
79,4,80,4,0.06919120342237797
80,4,80,4,0.05558976919745907
81,5,80,8,3.458050011626215
82,5,80,8,22.132104786982676
83,5,80,8,0.08683541086329814
84,5,80,8,0.0292812967858764
85,5,80,8,0.10990930651585437
86,5,80,8,0.11897236265444457
87,5,80,8,0.09619398997710314
88,5,80,8,0.09596017848569785
89,5,80,8,0.0688339481029605
90,5,80,8,0.0985034331527476
91,5,80,8,0.1688550831861681
92,5,80,8,0.1805637765084516
93,5,80,8,0.1578164295709126
94,5,80,8,0.1116677599361073
95,5,80,8,0.5227064451359696
96,5,80,8,0.022940306904508184
97,5,80,8,0.04957732012585175
98,5,80,8,0.09309866148646241
99,5,80,8,22.12160448432499
100,5,80,8,0.11461509361610832
101,6,360,0,0.03994150504747457
102,6,360,0,0.05487883599145361
103,6,360,0,31.508168892769636
104,6,360,0,0.026443626950177036
105,6,360,0,0.038037952326593176
106,6,360,0,0.08971046831181059
107,6,360,0,0.01182001742436848
108,6,360,0,0.07943524909631715
109,6,360,0,0.06588055616036043
110,6,360,0,0.051866318352777455
111,6,360,0,0.12471798258890858
112,6,360,0,0.03554672740264843
113,6,360,0,0.09622951246432784
114,6,360,0,0.028930300548583823
115,6,360,0,0.4883547063912786
116,6,360,0,0.1256311747276206
117,6,360,0,0.08897047750492339
118,6,360,0,0.04583605683503793
119,6,360,0,0.06422059208130615
120,6,360,0,0.048432436539263754
121,7,360,1,0.02776003584548229
122,7,360,1,0.04739659411077718
123,7,360,1,0.026629489584939242
124,7,360,1,0.02941604345894931
125,7,360,1,0.023542422509667125
126,7,360,1,0.024395779358730853
127,7,360,1,0.0273879323158396
128,7,360,1,30.704758431966027
129,7,360,1,0.022366291100718194
130,7,360,1,0.03699812205810629
131,7,360,1,0.027214942375442915
132,7,360,1,0.06381846890341189
133,7,360,1,0.012454044918528391
134,7,360,1,0.022889361181989417
135,7,360,1,0.031401749430329515
136,7,360,1,30.70556781816298
137,7,360,1,0.057527808457531936
138,7,360,1,0.023162659857445245
139,7,360,1,0.02463088753759298
140,7,360,1,0.06131228046210234
141,8,360,2,0.044199941517435566
142,8,360,2,0.03142115068169746
143,8,360,2,0.020107412816920002
144,8,360,2,0.022410411989184458
145,8,360,2,0.019834670723863284
146,8,360,2,0.027197609724941545
147,8,360,2,0.02665482087269164
148,8,360,2,0.02692832776455784
149,8,360,2,29.287341040518072
150,8,360,2,0.026854808760742276
151,8,360,2,0.027661570727829005
152,8,360,2,0.023875046207816976
153,8,360,2,0.026186353583559092
154,8,360,2,0.03120708810564956
155,8,360,2,0.031046187226719313
156,8,360,2,0.026576723792148222
157,8,360,2,0.042516649002509344
158,8,360,2,29.289870041665036
159,8,360,2,0.29913300399718057
160,8,360,2,0.046333088849667727
161,9,360,4,0.05327198369198402
162,9,360,4,25.167820771576412
163,9,360,4,25.168031361975803
164,9,360,4,25.170927253390044
165,9,360,4,0.045139099244861806
166,9,360,4,0.03462481161757333
167,9,360,4,0.035425188529138577
168,9,360,4,0.01889580337722593
169,9,360,4,0.022007568142270614
170,9,360,4,0.02226143786095059
171,9,360,4,0.07484590731522031
172,9,360,4,0.027896675551400817
173,9,360,4,0.0426615115561558
174,9,360,4,0.012908487187752322
175,9,360,4,0.05471588053649424
176,9,360,4,0.02676549821097783
177,9,360,4,25.16733437731394
178,9,360,4,0.022111309873378497
179,9,360,4,25.169770675592442
180,9,360,4,0.021938164044899906
181,10,360,8,0.1480402849649744
182,10,360,8,16.401410806844353
183,10,360,8,0.044745741495612154
184,10,360,8,0.12125596675150964
185,10,360,8,0.1375368733743938
186,10,360,8,0.0449184707277301
187,10,360,8,0.15352417013162156
188,10,360,8,0.24215759797704697
189,10,360,8,16.31252082484983
190,10,360,8,0.06870900150054896
191,10,360,8,0.0561846773035258
192,10,360,8,0.15950635256521548
193,10,360,8,0.08543260485470555
194,10,360,8,0.17670095310044473
