agent_ID,parameters_ID,order_cost,leadtime,mean_gap
96,5,80,8,0.06381811678887729
97,5,80,8,0.03865944532574908
98,5,80,8,0.028623768406941728
99,5,80,8,0.047363803979433385
100,5,80,8,0.018202624574473348
101,6,360,0,0.01391115826102492
102,6,360,0,0.02160208292041474
103,6,360,0,0.03295072913826824
104,6,360,0,0.023224691211766763
105,6,360,0,0.008718881738555657
106,6,360,0,0.02288005053219039
107,6,360,0,0.026753399613605178
108,6,360,0,0.029981015083078946
109,6,360,0,0.028764656280552997
110,6,360,0,0.02396672593009811
111,6,360,0,0.005909406429251725
112,6,360,0,31.51886033679295
113,6,360,0,0.006707152622052693
114,6,360,0,0.019865386134300386
115,6,360,0,0.024858608776278972
116,6,360,0,0.006109654506941565
117,6,360,0,0.029969515700052074
118,6,360,0,0.03192708689638261
119,6,360,0,0.018468122436103136
120,6,360,0,0.02420605623571162
121,7,360,1,0.010499994672868627
122,7,360,1,0.018594214748497585
123,7,360,1,0.028389271337310194
124,7,360,1,0.013751998113362
125,7,360,1,0.026994898892130192
126,7,360,1,0.01344628571537118
127,7,360,1,0.019634833764260836
128,7,360,1,0.013034593095467577
129,7,360,1,0.013825900570571138
130,7,360,1,0.019886519437517656
131,7,360,1,0.026025521836096056
132,7,360,1,0.021285972488290984
133,7,360,1,0.011271222938431812
134,7,360,1,0.011781836418562569
135,7,360,1,0.01069722710377737
136,7,360,1,0.018240114707327802
137,7,360,1,0.019834398898340905
138,7,360,1,0.008989607520565298
139,7,360,1,0.006783503131750622
140,7,360,1,0.02670415950987209
141,8,360,2,0.010068458350836739
142,8,360,2,0.016226760224368333
143,8,360,2,0.026698123511830013
144,8,360,2,0.018456148262076696
145,8,360,2,0.013179996262890407
146,8,360,2,0.016582064715591444
147,8,360,2,0.0090717033636784
148,8,360,2,0.012210923408939851
149,8,360,2,0.011170523095212487
150,8,360,2,0.0086770838433961
151,8,360,2,0.012784312398375615
152,8,360,2,29.288857455789902
153,8,360,2,0.016505296587781704
154,8,360,2,0.01177370666815258
155,8,360,2,0.02689994135721099
156,8,360,2,0.011972339580592085
157,8,360,2,0.011355575915809405
158,8,360,2,0.015884739957333364
159,8,360,2,0.012444015132819767
