agent_ID,parameters_ID,order_cost,leadtime,mean_gap
126,7,360,1,0.02612652147406732
127,7,360,1,0.021169334439888277
128,7,360,1,0.007942499274283706
129,7,360,1,0.02398647086287499
130,7,360,1,0.023163937985638393
131,7,360,1,0.013277770906479516
132,7,360,1,0.01497175357949574
133,7,360,1,0.007485797716725649
134,7,360,1,0.01707101823414169
135,7,360,1,0.01895468999638245
136,7,360,1,0.03194822417870291
137,7,360,1,0.018729682982424594
138,7,360,1,0.019318370848663304
139,7,360,1,0.031751697548247436
140,7,360,1,0.01686028568001731
141,8,360,2,0.02107674807818096
142,8,360,2,0.019130580879829225
143,8,360,2,0.019118001613547413
144,8,360,2,0.030736734833965565
145,8,360,2,0.012717095301197152
146,8,360,2,0.018068394159058736
147,8,360,2,29.283221865572152
148,8,360,2,0.03762201701038001
149,8,360,2,0.01958404171107973
150,8,360,2,0.014070399559505547
151,8,360,2,0.01540238931186433
152,8,360,2,0.024126647541619778
153,8,360,2,0.021321518799012742
154,8,360,2,0.016526876362050993
155,8,360,2,0.014681889262624113
156,8,360,2,29.290159486904436
157,8,360,2,0.024151776451420512
158,8,360,2,0.0227010096169315
159,8,360,2,0.022350733822080443
160,8,360,2,0.0076843624821981305
161,9,360,4,0.023204848197108448
162,9,360,4,0.01703536123668377
163,9,360,4,0.048759077840140747
164,9,360,4,0.026400354214579865
165,9,360,4,0.02463831134050635
166,9,360,4,0.025362307074671016
167,9,360,4,25.169473767307018
168,9,360,4,0.025201005501573892
169,9,360,4,0.02140736521298274
170,9,360,4,25.16514900985342
171,9,360,4,0.035121798682090054
172,9,360,4,0.029058160339043744
173,9,360,4,0.035216434525616555
174,9,360,4,0.025936890866690366
175,9,360,4,0.023280004012452137
176,9,360,4,0.02725740118603299
177,9,360,4,0.01847847641056865
178,9,360,4,0.016678275570590363
179,9,360,4,0.03062175048220774
180,9,360,4,0.026918047917749686
181,10,360,8,0.0857735698102865
182,10,360,8,0.06108031645656305
183,10,360,8,0.056764648653244196
184,10,360,8,0.41879188666203765
185,10,360,8,0.12804508833250106
186,10,360,8,0.08214740729014014
187,10,360,8,0.9840643274957419
188,10,360,8,0.16545221678719657
189,10,360,8,0.245494619660325
190,10,360,8,0.17946636186130907
191,10,360,8,0.3894714915857139
192,10,360,8,0.30824938208310987
193,10,360,8,0.05738214671989547
194,10,360,8,0.04414578019759232
195,10,360,8,0.09038216665674509
196,10,360,8,0.10456754845475
197,10,360,8,0.09743722246214118
198,10,360,8,0.08043719671691553
199,10,360,8,0.09215166337502081
200,10,360,8,0.13276421589209148
201,11,1280,0,0.07373487438926189
202,11,1280,0,0.02108830013085632
203,11,1280,0,0.03294287185400398
204,11,1280,0,0.048889793060342183
205,11,1280,0,0.03386326716400185
206,11,1280,0,0.06273679466434136
207,11,1280,0,0.0203716581816793
208,11,1280,0,0.06402949866966864
209,11,1280,0,0.006554659440967642
210,11,1280,0,0.021593604736741268
211,11,1280,0,0.04456729807008204
212,11,1280,0,0.03900289570217279
213,11,1280,0,0.0577016917071131
214,11,1280,0,0.02401840980955333
215,11,1280,0,0.019992770584531954
216,11,1280,0,0.03465693110046951
217,11,1280,0,0.042846139899059096
218,11,1280,0,0.07636170049481801
219,11,1280,0,0.014904280940420154
220,11,1280,0,0.06297343568293226
221,12,1280,1,0.02553487097121597
222,12,1280,1,0.029735369025431214
223,12,1280,1,0.032572192824112896
224,12,1280,1,0.04197739859318596
225,12,1280,1,0.12540253781445035
226,12,1280,1,0.03224817295433945
227,12,1280,1,0.01864568503445917
228,12,1280,1,0.03472617522179236
229,12,1280,1,0.03155405045624914
230,12,1280,1,0.023834964782605182
231,12,1280,1,0.02231421151539263
232,12,1280,1,0.03398731001070138
233,12,1280,1,0.030807101813134372
234,12,1280,1,0.00727327713918258
235,12,1280,1,0.049595428517865074
236,12,1280,1,0.03271361649193812
237,12,1280,1,0.01880686818847745
238,12,1280,1,0.03156366901463139
239,12,1280,1,0.02097830238978039
240,12,1280,1,0.021801692159372832
241,13,1280,2,0.032534124122285214
242,13,1280,2,0.012371162494312131
243,13,1280,2,0.04048647055148436
244,13,1280,2,0.026840139966740194
245,13,1280,2,0.039890616985243724
246,13,1280,2,0.019805082791072282
247,13,1280,2,0.03580606573518436
248,13,1280,2,0.023666211822626848
249,13,1280,2,0.015541499200180527
250,13,1280,2,0.03492822815639454
251,13,1280,2,0.018753010136173885
252,13,1280,2,0.03779840752466787
253,13,1280,2,0.027613188436537036
254,13,1280,2,0.02718704493569451
255,13,1280,2,0.04004748631726531
256,13,1280,2,0.02224151347657534
257,13,1280,2,0.026579836364303066
258,13,1280,2,0.03831334631973192
259,13,1280,2,0.024297765768382683
260,13,1280,2,0.04265886973561545
261,14,1280,4,0.023153374294515756
262,14,1280,4,0.05159338252272409
263,14,1280,4,0.026658331898733872
264,14,1280,4,0.034473733690835846
265,14,1280,4,0.05077622488444939
266,14,1280,4,0.02864600268842871
267,14,1280,4,0.0376862929436806
268,14,1280,4,0.024386650502864312
269,14,1280,4,0.0370980209846385
270,14,1280,4,0.027037603057926816
271,14,1280,4,0.03212427747235592
272,14,1280,4,0.030990051266756156
273,14,1280,4,0.0628121237702649
274,14,1280,4,0.025258084588553595
275,14,1280,4,0.03604726254313278
276,14,1280,4,0.1535771145414825
277,14,1280,4,0.03660585900695931
278,14,1280,4,0.03149403347755674
279,14,1280,4,0.03951609832616726
280,14,1280,4,0.03894820567515703
281,15,1280,8,10.803732771362446
282,15,1280,8,0.09653790438656738
283,15,1280,8,0.09906634691265556
284,15,1280,8,1.0476651070595746
285,15,1280,8,0.08481410172242175
286,15,1280,8,0.05549575824552491
287,15,1280,8,0.008531531674358394
288,15,1280,8,0.041263997184013766
289,15,1280,8,0.646984949529209
290,15,1280,8,0.07363388611961977
291,15,1280,8,0.12522285951631518
292,15,1280,8,0.039420614316677406
293,15,1280,8,0.09239442399211316
294,15,1280,8,0.07446326215750537
295,15,1280,8,0.04218326344051078
296,15,1280,8,0.06969551234990337
297,15,1280,8,0.04420620892656502
298,15,1280,8,0.17294664521609196
299,15,1280,8,10.801716948360658
300,15,1280,8,0.021683567047167517
